,movie_title,comb
1084,the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
1085,the bounty hunter,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
1086,sleepers,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime Drama Thriller
1087,rambo: first blood part ii,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
1088,the juror,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
1089,pinocchio,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation Family Fantasy Musical
1090,heaven's gate,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure Drama Western
1091,underworld: evolution,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
1092,finding forrester,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
1093,28 days,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy Drama
1094,unleashed,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
1095,the sweetest thing,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy Romance
1096,the firm,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
1097,charlie st. cloud,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama Fantasy Romance
1098,the mechanic,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
1099,21 jump street,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
1100,notting hill,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy Drama Romance
1101,chicken run,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure Animation Comedy Drama Family
1102,along came polly,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy Romance
1103,boomerang,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy Drama Romance
1104,the heat,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action Comedy Crime
1105,cleopatra,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
1106,here comes the boom,Salma Hayek Reggie Lee Charice Frank Coraci Action Comedy Sport
1107,high crimes,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
1108,the mirror has two faces,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy Drama Romance
1109,the mothman prophecies,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
1110,brüno,Bono Elton John Slash Larry Charles Comedy
1111,licence to kill,Robert Davi Talisa Soto Anthony Zerbe John Glen Action Adventure Thriller
1112,red riding hood,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
1113,15 minutes,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action Crime Drama Thriller
1114,super mario bros.,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure Comedy Family Fantasy Sci-Fi
1115,lord of war,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime Drama Thriller
1116,one for the money,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action Comedy Crime Romance Thriller
1117,the interview,James Franco Randall Park Anders Holm Evan Goldberg Comedy
1118,the warrior's way,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action Fantasy Western
1119,mchale's navy            ,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy War
1120,micmacs,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action Comedy Crime
1121,8 mile,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama Music
1122,animal kingdom: let's go ape,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure Animation Comedy Family
1123,a knight's tale,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action Adventure Romance
1124,the medallion,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action Comedy Fantasy
1125,the sixth sense,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
1126,man on a ledge,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action Crime Thriller
1127,the big year,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
1128,american hustle,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime Drama
1129,the proposal,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy Drama Romance
1130,double jeopardy,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime Mystery Thriller
1131,back to the future part ii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi
1132,lucy,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action Sci-Fi Thriller
1133,fifty shades of grey,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama Romance
1134,spy kids 3-d: game over,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action Adventure Comedy Family Sci-Fi
1135,a time to kill,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime Drama Thriller
1136,cheaper by the dozen,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy Family
1137,lone survivor,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action Biography Drama Thriller War
1138,a league of their own,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy Drama Sport
1139,the conjuring 2,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror Mystery Thriller
1140,the social network,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography Drama
1141,he's just not that into you,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy Drama Romance
1142,scary movie 4,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
1143,scream 3,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror Mystery
1144,back to the future part iii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi Western
1145,get hard,Will Ferrell Alison Brie Craig T. Nelson Etan Cohen Comedy Crime
1146,bram stoker's dracula,Keanu Reeves Anthony Hopkins Gary Oldman Francis Ford Coppola Fantasy Horror Romance
1147,julie & julia,Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Nora Ephron Biography Drama Romance
1148,42,Harrison Ford Christopher Meloni Nicole Beharie Brian Helgeland Biography Drama Sport
1149,the talented mr. ripley,Philip Seymour Hoffman Matt Damon Jack Davenport Anthony Minghella Crime Drama Thriller
1150,dumb and dumber to,Bill Murray Kathleen Turner Rob Riggle Bobby Farrelly Comedy
1151,eight below,Paul Walker Bruce Greenwood Wendy Crewson Frank Marshall Adventure Drama Family
1152,the intern,Robert De Niro Anne Hathaway Rene Russo Nancy Meyers Comedy Drama
1153,ride along 2,Olivia Munn Nadine Velazquez Bruce McGill Tim Story Action Comedy
1154,the last of the mohicans,Wes Studi Terry Kinney Eric Schweig Michael Mann Action Adventure Drama Romance War
1155,ray,Bokeem Woodbine Curtis Armstrong Harry Lennix Taylor Hackford Biography Drama Music
1156,sin city,Rosario Dawson Powers Boothe Jason Douglas Frank Miller Crime Thriller
1157,vantage point,Dennis Quaid Edgar Ramírez William Hurt Pete Travis Crime Drama Mystery Thriller
1158,"i love you, man",J.K. Simmons Jon Favreau Jane Curtin John Hamburg Comedy Romance
1159,shallow hal,Jason Alexander Bruce McGill Susan Ward Bobby Farrelly Comedy Drama Fantasy Romance
1160,jfk,Sally Kirkland Jay O. Sanders Cheryl Penland Oliver Stone Drama History Thriller
1161,big momma's house 2,Chloë Grace Moretz Nia Long Marisol Nichols John Whitesell Comedy Crime
1162,the mexican,J.K. Simmons Brad Pitt Julia Roberts Gore Verbinski Adventure Comedy Crime Romance
1163,unbroken,Finn Wittrock Jack O'Connell Alex Russell Angelina Jolie Pitt Biography Drama Sport War
1164,17 again,Matthew Perry Hunter Parrish Thomas Lennon Burr Steers Comedy Drama Family Fantasy Romance
1165,the other woman,Don Johnson Kate Upton David Thornton Nick Cassavetes Comedy Romance
1166,the final destination,Krista Allen Andrew Fiscella Shantel VanSanten David R. Ellis Horror
1167,bridge of spies,Tom Hanks Mark Rylance Amy Ryan Steven Spielberg Drama History Thriller
1168,behind enemy lines,Joaquim de Almeida David Keith Sam Jaeger John Moore Action Drama Thriller War
1169,get him to the greek,Pink Mario Lopez Lino Facioli Nicholas Stoller Comedy Music
1170,shall we dance,Lisa Ann Walter Nick Cannon Omar Benson Miller Peter Chelsom Comedy Drama Romance
1171,small soldiers,Kirsten Dunst Denis Leary Robert Picardo Joe Dante Action Adventure Comedy Family Sci-Fi
1172,spawn,Michael Jai White Frank Welker Miko Hughes Mark A.Z. Dippé Action Horror
1173,the count of monte cristo,Henry Cavill James Frain Michael Wincott Kevin Reynolds Action Adventure Drama Romance Thriller
1174,the lincoln lawyer,Matthew McConaughey Margarita Levieva Frances Fisher Brad Furman Crime Drama Thriller
1175,the prestige,Christian Bale Hugh Jackman Scarlett Johansson Christopher Nolan Drama Mystery Sci-Fi Thriller
1176,horrible bosses 2,Kevin Spacey Christoph Waltz Lindsay Sloane Sean Anders Comedy Crime
1177,escape from planet earth,Brendan Fraser Paul Scheer Jonathan Morgan Heit Cal Brunker Adventure Animation Comedy Family Sci-Fi
1178,apocalypto,Rudy Youngblood Dalia Hernández Jonathan Brewer Mel Gibson Action Adventure Drama Thriller
1179,the living daylights,Joe Don Baker Desmond Llewelyn Art Malik John Glen Action Adventure Thriller
1180,predators,Topher Grace Alice Braga Derek Mears Nimród Antal Action Adventure Sci-Fi Thriller
1181,legal eagles,Brian Dennehy Debra Winger Roscoe Lee Browne Ivan Reitman Comedy Crime Romance
1182,secret window,Johnny Depp Charles S. Dutton Timothy Hutton David Koepp Mystery Thriller
1183,the lake house,Keanu Reeves Dylan Walsh Ebon Moss-Bachrach Alejandro Agresti Drama Fantasy Romance
1184,the skeleton key,Gena Rowlands Deneen Tyler Joy Bryant Iain Softley Horror Mystery Thriller
1185,the odd life of timothy green,Jennifer Garner Odeya Rush Common Peter Hedges Comedy Drama Family Fantasy
1186,made of honor,Busy Philipps Beau Garrett Kevin Sussman Paul Weiland Comedy Romance
1187,jersey boys,Johnny Cannizzaro Steve Schirripa Scott Vance Clint Eastwood Biography Drama Music Musical
1188,the rainmaker,Matt Damon Dean Stockwell Virginia Madsen Francis Ford Coppola Crime Drama Thriller
1189,gothika,Robert Downey Jr. Charles S. Dutton Bernard Hill Mathieu Kassovitz Horror Mystery Thriller
1190,amistad,Anthony Hopkins Morgan Freeman Matthew McConaughey Steven Spielberg Drama History
1191,medicine man,Lorraine Bracco José Wilker Sean Connery John McTiernan Adventure Drama Romance
1192,aliens vs. predator: requiem,Sam Trammell Johnny Lewis Ian Whyte Colin Strause Action Horror Sci-Fi Thriller
1193,ri¢hie ri¢h,Macaulay Culkin John Larroquette Jonathan Hyde Donald Petrie Comedy Family
1194,autumn in new york,J.K. Simmons Sam Trammell Elaine Stritch Joan Chen Drama Romance
1195,music and lyrics,Brad Garrett Scott Porter Haley Bennett Marc Lawrence Comedy Music Romance
1196,paul,Bobby Lee Nelson Ascencio Jeremy Owen Greg Mottola Adventure Comedy Sci-Fi
1197,the guilt trip,Miriam Margolyes Tom Virtue Julene Renee Anne Fletcher Comedy Drama
1198,scream 4,Alison Brie Aimee Teegarden Shenae Grimes-Beech Wes Craven Horror Mystery
1199,8mm,Nicolas Cage Chris Bauer Anthony Heald Joel Schumacher Mystery Thriller
1200,the doors,Michael Wincott Kevin Dillon Kathleen Quinlan Oliver Stone Biography Drama Music Musical
1201,sex tape,James Wilcox Randall Park Nat Faxon Jake Kasdan Comedy
1202,hanging up,Adam Arkin Celia Weston Jesse James Diane Keaton Comedy Drama
1203,final destination 5,Emma Bell Jacqueline MacInnes Wood Courtney B. Vance Steven Quale Horror
1204,mickey blue eyes,Jeanne Tripplehorn Burt Young Vincent Pastore Kelly Makin Comedy Crime Romance
1205,pay it forward,Kevin Spacey Haley Joel Osment Angie Dickinson Mimi Leder Drama
1206,fever pitch,Jimmy Fallon KaDee Strickland Ione Skye Bobby Farrelly Comedy Drama Romance Sport
1207,arthur            ,Bruce Dinsmore Melissa Altro Daniel Brochu unknown Animation Comedy Family
1208,drillbit taylor,Lisa Ann Walter Shaun Weiss Matt Walsh Steven Brill Comedy Drama
1209,a million ways to die in the west,Liam Neeson Charlize Theron Seth MacFarlane Seth MacFarlane Comedy Western
1210,the shadow,Jonathan Winters Peter Boyle John Kapelos Russell Mulcahy Action Adventure Crime Fantasy Mystery Thriller
1211,extremely loud & incredibly close,Tom Hanks Thomas Horn Stephen Henderson Stephen Daldry Adventure Drama Mystery
1212,morning glory,Noah Bean Patti D'Arbanville Vanessa Aspillaga Roger Michell Comedy Drama Romance
1213,get rich or die tryin',50 Cent Bill Duke Marc John Jefferies Jim Sheridan Biography Crime Drama Music
1214,the art of war,Michael Biehn Cary-Hiroyuki Tagawa Anne Archer Christian Duguay Action Adventure Crime Thriller
1215,rent,Rosario Dawson David Fine Jesse L. Martin Chris Columbus Drama Musical Romance
1216,bless the child,Rufus Sewell Jimmy Smits Angela Bettis Chuck Russell Crime Drama Horror Thriller
1217,the out-of-towners,Oliver Hudson Valerie Perri Carlease Burke Sam Weisman Comedy
1218,the island of dr. moreau,Marlon Brando Temuera Morrison Marco Hofschneider John Frankenheimer Horror Sci-Fi Thriller
1219,the musketeer,Catherine Deneuve Justin Chambers Stephen Rea Peter Hyams Action Adventure Romance
1220,the other boleyn girl,Natalie Portman Scarlett Johansson Benedict Cumberbatch Justin Chadwick Biography Drama History Romance
1221,sweet november,Keanu Reeves Charlize Theron Frank Langella Pat O'Connor Drama Romance
1222,the reaping,Stephen Rea Andrea Frankle William Ragsdale Stephen Hopkins Horror Thriller
1223,mean streets,Robert De Niro David Carradine David Proval Martin Scorsese Crime Drama Romance Thriller
1224,renaissance man,Ed Begley Jr. Cliff Robertson Lillo Brancato Penny Marshall Comedy Drama
1225,colombiana,Jordi Mollà Callum Blue Jesse Borrego Olivier Megaton Action Crime Drama Thriller
1226,the magic sword: quest for camelot,Gary Oldman Jaleel White Eric Idle Frederik Du Chau Adventure Animation Comedy Drama Family Fantasy Musical
1227,city by the sea,Robert De Niro James Franco John Doman Michael Caton-Jones Crime Drama Mystery Thriller
1228,at first sight,Mira Sorvino Nathan Lane Steven Weber Irwin Winkler Drama Romance
1229,torque,Dane Cook Jay Hernandez Christina Milian Joseph Kahn Action Comedy Crime
1230,city hall,Al Pacino Martin Landau Bridget Fonda Harold Becker Drama Thriller
1231,showgirls,Bobbie Phillips Elizabeth Berkley Robert Davi Paul Verhoeven Drama
1232,marie antoinette,Kirsten Dunst Shirley Henderson Rip Torn Sofia Coppola Biography Drama History Romance
1233,kiss of death,Nicolas Cage Michael Rapaport Philip Baker Hall Barbet Schroeder Action Crime Thriller
1234,get carter,Sylvester Stallone Miranda Richardson Lauren Lee Smith Stephen Kay Action Crime Drama Thriller
1235,the impossible,Naomi Watts Geraldine Chaplin Oaklee Pendergast J.A. Bayona Drama Thriller
1236,ishtar,Carol Kane Warren Beatty Isabelle Adjani Elaine May Action Adventure Comedy Music Thriller
1237,fantastic mr. fox,Bill Murray Meryl Streep Helen McCrory Wes Anderson Adventure Animation Comedy Crime Family
1238,life or something like it,Angelina Jolie Pitt Stockard Channing James Gammon Stephen Herek Comedy Romance
1239,memoirs of an invisible man,Richard Epcar Michael McKean Patricia Heaton John Carpenter Comedy Romance Sci-Fi Thriller
1240,amélie,Mathieu Kassovitz Jamel Debbouze Isabelle Nanty Jean-Pierre Jeunet Comedy Romance
1241,new york minute,Mary-Kate Olsen Bob Saget Riley Smith Dennie Gordon Comedy Crime Family Romance
1242,alfie,Omar Epps Nia Long Jane Krakowski Charles Shyer Comedy Drama Romance
1243,big miracle,Ted Danson Tim Blake Nelson Andrew Daly Ken Kwapis Biography Drama Romance
1244,the deep end of the ocean,Alexa PenaVega Treat Williams Jonathan Jackson Ulu Grosbard Drama
1245,feardotcom,Natascha McElhone Jeffrey Combs Udo Kier William Malone Crime Horror Thriller
1246,cirque du freak: the vampire's assistant,Josh Hutcherson Salma Hayek Patrick Fugit Paul Weitz Action Adventure Fantasy Thriller
1247,duplex,Justin Theroux Amber Valletta Harvey Fierstein Danny DeVito Comedy
1248,soul men,Bernie Mac Sean Hayes Mike Epps Malcolm D. Lee Comedy Drama Music
1249,raise the titanic,M. Emmet Walsh Jason Robards Anne Archer Jerry Jameson Action Adventure Drama Thriller
1250,universal soldier: the return,Michael Jai White Daniel von Bargen Xander Berkeley Mic Rodgers Action Sci-Fi
1251,pandorum,Norman Reedus Dennis Quaid Eddie Rouse Christian Alvart Action Horror Mystery Sci-Fi Thriller
1252,impostor,Gary Dourdan Mekhi Phifer Tim Guinee Gary Fleder Drama Mystery Sci-Fi Thriller
1253,extreme ops,Rufus Sewell Bridgette Wilson-Sampras Rupert Graves Christian Duguay Action Adventure Thriller
1254,just visiting,Bridgette Wilson-Sampras Matt Ross John Aylward Jean-Marie Poiré Comedy Fantasy Sci-Fi
1255,sunshine,Chris Evans Benedict Wong Troy Garity Danny Boyle Adventure Sci-Fi Thriller
1256,a thousand words,John Gatins Lou Saliba Greg Collins Brian Robbins Comedy Drama
1257,delgo,Eric Idle Anne Bancroft Kelly Ripa Marc F. Adler Adventure Animation Comedy Fantasy Romance
1258,the gunman,Ray Winstone Mark Rylance Jasmine Trinca Pierre Morel Action Crime Drama Mystery Thriller
1259,alex rider: operation stormbreaker,Alex Pettyfer Sophie Okonedo Ashley Walters Geoffrey Sax Action Adventure Family Thriller
1260,hackers,Angelina Jolie Pitt Fisher Stevens Lorraine Bracco Iain Softley Comedy Crime Drama Thriller
1261,the hunting party,James Brolin Zan Marolt Ljubomir Kerekes Richard Shepard Adventure Comedy Drama Romance Thriller War
1262,the hudsucker proxy,Jennifer Jason Leigh Bill Cobbs John Mahoney Joel Coen Comedy Fantasy
1263,the warlords,Jet Li Takeshi Kaneshiro Andy Lau Peter Ho-Sun Chan Action Drama History Romance War
1264,nomad: the warrior,Jay Hernandez Kuno Becker Jason Scott Lee Sergey Bodrov Drama History War
1265,snowpiercer,Chris Evans Ewen Bremner Kang-ho Song Joon-ho Bong Action Drama Sci-Fi Thriller
1266,a monster in paris,Adam Goldberg Bob Balaban François Cluzet Bibo Bergeron Adventure Animation Comedy Fantasy Music Romance
1267,the last shot,Matthew Broderick Glenn Morshower Tim Blake Nelson Jeff Nathanson Comedy
1268,the crow,Michael Wincott Bai Ling David Patrick Kelly Alex Proyas Action Drama Fantasy
1269,baahubali: the beginning,Tamannaah Bhatia Anushka Shetty Prabhas S.S. Rajamouli Action Adventure Drama Fantasy War
1270,the time traveler's wife,Arliss Howard Brooklynn Proulx Michelle Nolden Robert Schwentke Drama Fantasy Romance Sci-Fi
1271,because i said so,Colin Ferguson Stephen Collins Tom Everett Scott Michael Lehmann Comedy Romance
1272,the fast and the furious,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller
1273,frankenweenie,Martin Landau Catherine O'Hara Atticus Shaffer Tim Burton Animation Comedy Family Horror Sci-Fi
1274,serenity,Adam Baldwin Sean Maher Michael Hitchcock Joss Whedon Action Adventure Sci-Fi Thriller
1275,against the ropes,Omar Epps Charles S. Dutton Tim Daly Charles S. Dutton Biography Drama Romance Sport
1276,superman iii,Margot Kidder Robert Vaughn Jackie Cooper Richard Lester Action Comedy Sci-Fi
1277,grudge match,Robert De Niro Sylvester Stallone Oscar Gale Peter Segal Comedy Sport
1278,red cliff,Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao John Woo Action Adventure Drama History War
1279,sweet home alabama,Ethan Embry Mary Lynn Rajskub Courtney Gains Andy Tennant Comedy Romance
1280,the ugly truth,Gerard Butler John Michael Higgins Eric Winter Robert Luketic Comedy Romance
1281,sgt. bilko,Austin Pendleton Phil Hartman Max Casella Jonathan Lynn Comedy
1282,spy kids 2: island of lost dreams,Steve Buscemi Alexa PenaVega Emily Osment Robert Rodriguez Action Adventure Comedy Family Sci-Fi
1283,star trek: generations,LeVar Burton Alan Ruck Jonathan Frakes David Carson Action Adventure Mystery Sci-Fi Thriller
1284,the grandmaster,Tony Chiu Wai Leung Hye-kyo Song Elvis Tsui Kar-Wai Wong Action Biography Drama
1285,water for elephants,Robert Pattinson Christoph Waltz James Frain Francis Lawrence Drama Romance
1286,3rd rock from the sun            ,Joseph Gordon-Levitt Wayne Knight Kristen Johnston unknown Comedy Family Sci-Fi
1287,dragon nest: warriors' dawn,Blythe Auffarth Bianca Collins Jiao Xu Yuefeng Song Adventure Animation Family Fantasy
1288,the hurricane,Denzel Washington Vincent Pastore Deborah Kara Unger Norman Jewison Biography Drama Sport
1289,enough,Bill Cobbs Jeff Kober Billy Campbell Michael Apted Crime Drama Thriller
1290,heartbreakers,Sarah Silverman Anne Bancroft Jeffrey Jones David Mirkin Comedy Crime Romance
1291,paul blart: mall cop 2,D.B. Woodside Daniella Alonso Eduardo Verástegui Andy Fickman Action Comedy Crime
1292,angel eyes,Sonia Braga Shirley Knight Kari Matchett Luis Mandoki Drama Romance
1293,joe somebody,Jim Belushi Ken Marino Kelly Lynch John Pasquin Comedy Drama
1294,the ninth gate,Johnny Depp Frank Langella Lena Olin Roman Polanski Mystery Thriller
1295,extreme measures,J.K. Simmons Paul Guilfoyle Bill Nunn Michael Apted Crime Drama Mystery Thriller
1296,rock star,Beth Grant Dagmara Dominczyk Matthew Glave Stephen Herek Drama Music
1297,white squall,Jeff Bridges Jason Marsden Ethan Embry Ridley Scott Adventure Drama
1298,the thing,Wilford Brimley Richard Masur David Clennon John Carpenter Horror Mystery Sci-Fi
1299,riddick,Vin Diesel Nolan Gerard Funk Bokeem Woodbine David Twohy Action Sci-Fi Thriller
1300,switchback,Gregory Scott Cummins Claudia Stedelin Ted Markland Jeb Stuart Crime Mystery Thriller
1301,texas rangers,Tom Skerritt Usher Raymond Leonor Varela Steve Miner Action Adventure Drama Thriller Western
1302,city of ember,Bill Murray Toby Jones Harry Treadaway Gil Kenan Adventure Family Fantasy Sci-Fi
1303,the master,Mike Howard Jeffrey W. Jenkins Bruce Goodchild Paul Thomas Anderson Drama
1304,virgin territory,Hayden Christensen Ryan Cartwright David Walliams David Leland Adventure Comedy History Romance
1305,the express,Dennis Quaid Nicole Beharie Charles S. Dutton Gary Fleder Biography Drama Sport
1306,the 5th wave,Chloë Grace Moretz Maggie Siff Nick Robinson J Blakeson Action Adventure Sci-Fi Thriller
1307,creed,Sylvester Stallone Phylicia Rashad Graham McTavish Ryan Coogler Drama Sport
1308,the town,Jeremy Renner Jon Hamm Owen Burke Ben Affleck Crime Drama Thriller
1309,what to expect when you're expecting,Anna Kendrick Dennis Quaid Thomas Lennon Kirk Jones Comedy Drama Romance
1310,burn after reading,J.K. Simmons Brad Pitt Kevin Sussman Ethan Coen Comedy Drama
1311,nim's island,Gerard Butler Anthony Simcoe Christopher James Baker Jennifer Flackett Adventure Comedy Family Fantasy
1312,rush,Chris Hemsworth Olivia Wilde Alexandra Maria Lara Ron Howard Action Biography Drama Sport
1313,magnolia,Patton Oswalt Neil Flynn Jim Meskimen Paul Thomas Anderson Drama
1314,cop out,Bruce Willis Tracy Morgan Kevin Pollak Kevin Smith Action Comedy Crime
1315,how to be single,Alison Brie Damon Wayans Jr. Nicholas Braun Christian Ditter Comedy Romance
1316,dolphin tale,Morgan Freeman Michael Roark Harry Connick Jr. Charles Martin Smith Drama Family
1317,john q,Denzel Washington Laura Harring Anne Heche Nick Cassavetes Crime Drama Thriller
1318,blue streak,Peter Greene Dave Chappelle Tamala Jones Les Mayfield Action Comedy Crime Thriller
1319,we're the millers,Laura-Leigh Molly C. Quinn Thomas Lennon Rawson Marshall Thurber Comedy Crime
1320,obitaemyy ostrov,Yuliya Snigir Fedor Bondarchuk Aleksey Serebryakov Fedor Bondarchuk Action Adventure Sci-Fi
1321,breakdown,Kathleen Quinlan M.C. Gainey J.T. Walsh Jonathan Mostow Action Crime Drama Mystery Thriller
1322,never say never again,Bernie Casey Klaus Maria Brandauer Barbara Carrera Irvin Kershner Action Adventure Thriller
1323,hot tub time machine,Charlie McDermott Collette Wolfe Crystal Lowe Steve Pink Comedy Sci-Fi
1324,dolphin tale 2,Morgan Freeman Taylor Blackwell Harry Connick Jr. Charles Martin Smith Drama Family
1325,reindeer games,Charlize Theron James Frain Clarence Williams III John Frankenheimer Action Adventure Crime Drama Family Fantasy Romance Thriller
1326,a man apart,Vin Diesel Jeff Kober Larenz Tate F. Gary Gray Action Crime Drama Thriller
1327,ghosts of mississippi,Alexa PenaVega Virginia Madsen Craig T. Nelson Rob Reiner Drama History
1328,snow falling on cedars,Rick Yune Reeve Carney Daniel von Bargen Scott Hicks Drama Mystery Romance Thriller
1329,the rite,Anthony Hopkins Colin O'Donoghue Toby Jones Mikael Håfström Drama Horror Mystery Thriller
1330,gattaca,Blair Underwood Xander Berkeley Mason Gamble Andrew Niccol Drama Sci-Fi Thriller
1331,isn't she great,Stockard Channing Nathan Lane John Larroquette Andrew Bergman Biography Comedy Romance
1332,space chimps,Cheryl Hines Kenan Thompson Omid Abtahi Kirk De Micco Adventure Animation Comedy Family Sci-Fi
1333,head of state,Bernie Mac Dylan Baker Tracy Morgan Chris Rock Comedy
1334,the hangover,Bradley Cooper Rob Riggle Mike Epps Todd Phillips Comedy
1335,ip man 3,Mike Tyson Lynn Hung Kwok-Kwan Chan Wilson Yip Action Biography Drama History
1336,austin powers: the spy who shagged me,Muse Watson Verne Troyer Robert Wagner Jay Roach Action Adventure Comedy Crime
1337,batman,Michael Gough Jack Palance William Hootkins Tim Burton Action Adventure
1338,there be dragons,Jordi Mollà Dougray Scott Lily Cole Roland Joffé Biography Drama War
1339,lethal weapon 3,Rene Russo Nick Chinlund Stuart Wilson Richard Donner Action Crime Thriller
1340,the blind side,Catherine Dyer Quinton Aaron Kim Dickens John Lee Hancock Biography Drama Sport
1341,rush hour            ,Jon Foo Aimee Garcia Wendie Malick unknown Action Comedy Crime
1342,spy kids,Alexa PenaVega Cheech Marin Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
1343,horrible bosses,Kevin Spacey Lindsay Sloane Reginald Ballard Seth Gordon Comedy Crime
1344,true grit,Matt Damon Jeff Bridges Bruce Green Ethan Coen Adventure Drama Western
1345,the devil wears prada,Meryl Streep Anne Hathaway Rebecca Mader David Frankel Comedy Drama Romance
1346,star trek: the motion picture,Leonard Nimoy Nichelle Nichols Walter Koenig Robert Wise Adventure Mystery Sci-Fi
1347,identity thief,Jon Favreau Eric Stonestreet T.I. Seth Gordon Comedy Crime
1348,cape fear,Robert De Niro Robert Mitchum Joe Don Baker Martin Scorsese Crime Thriller
1349,21,Kevin Spacey Jim Sturgess Josh Gad Robert Luketic Crime Drama Thriller
1350,trainwreck,Amy Schumer Randall Park Josh Segarra Judd Apatow Comedy Romance
1351,guess who,Bernie Mac Nicole Sullivan Sherri Shepherd Kevin Rodney Sullivan Comedy Romance
1352,the english patient,Colin Firth Kristin Scott Thomas Jürgen Prochnow Anthony Minghella Drama Romance War
1353,l.a. confidential,Kevin Spacey Matt McCoy Paul Guilfoyle Curtis Hanson Crime Drama Mystery Thriller
1354,sky high,Michael Angarano Kelly Preston Nicholas Braun Mike Mitchell Adventure Comedy Family Sci-Fi
1355,in & out,Tom Selleck Wilford Brimley Lauren Ambrose Frank Oz Comedy
